category,sample_id,split
dress_sleeveless_2550,dress_sleeveless_QWM709RFGV,train
dress_sleeveless_2550,dress_sleeveless_XI21MWMC9E,train
dress_sleeveless_2550,dress_sleeveless_DJKYQBLG26,train
dress_sleeveless_2550,dress_sleeveless_U8YKKPF3ZU,train
dress_sleeveless_2550,dress_sleeveless_QD14NKTSLI,train
dress_sleeveless_2550,dress_sleeveless_HD07D3CKK6,train
dress_sleeveless_2550,dress_sleeveless_FLW6OMROJE,train
dress_sleeveless_2550,dress_sleeveless_0SI4M5OOOA,train
dress_sleeveless_2550,dress_sleeveless_6T40NQVF18,train
dress_sleeveless_2550,dress_sleeveless_6KO19SOY1S,train
dress_sleeveless_2550,dress_sleeveless_18JK9V4P3K,train
dress_sleeveless_2550,dress_sleeveless_M1UFN1F784,train
dress_sleeveless_2550,dress_sleeveless_K3EKXWQ59N,train
dress_sleeveless_2550,dress_sleeveless_PGITCXEANX,train
dress_sleeveless_2550,dress_sleeveless_4SFC23LVFR,train
dress_sleeveless_2550,dress_sleeveless_FUX5L6LAKX,train
dress_sleeveless_2550,dress_sleeveless_DLZ9RT4FY5,train
dress_sleeveless_2550,dress_sleeveless_7AKNQ5QE7S,train
dress_sleeveless_2550,dress_sleeveless_HD9KS35US6,train
dress_sleeveless_2550,dress_sleeveless_KG55770SZM,train
dress_sleeveless_2550,dress_sleeveless_S11LOA1TCA,train
dress_sleeveless_2550,dress_sleeveless_YO53SLLPBR,train
dress_sleeveless_2550,dress_sleeveless_TFXH61YYLJ,train
dress_sleeveless_2550,dress_sleeveless_XV2S57ZQDU,train
dress_sleeveless_2550,dress_sleeveless_SFYJ9PZ9J2,train
dress_sleeveless_2550,dress_sleeveless_JXO6M241K8,train
dress_sleeveless_2550,dress_sleeveless_BP0TVM1Y85,train
dress_sleeveless_2550,dress_sleeveless_A2AT0S3AU3,train
dress_sleeveless_2550,dress_sleeveless_NL7YTRZQGQ,train
dress_sleeveless_2550,dress_sleeveless_I2Y5UVWRFM,train
dress_sleeveless_2550,dress_sleeveless_5SVQ7QF3PB,train
dress_sleeveless_2550,dress_sleeveless_U6SSPPNBJC,train
dress_sleeveless_2550,dress_sleeveless_CEARF0XL8S,train
dress_sleeveless_2550,dress_sleeveless_CJ3DJYEDML,train
dress_sleeveless_2550,dress_sleeveless_NOSN5Q5Q6Z,train
dress_sleeveless_2550,dress_sleeveless_3DLZRTH244,train
dress_sleeveless_2550,dress_sleeveless_TGIUU5GFX2,train
dress_sleeveless_2550,dress_sleeveless_EJ58PKS63I,train
dress_sleeveless_2550,dress_sleeveless_G9O6UWNZ7Y,train
dress_sleeveless_2550,dress_sleeveless_J9P6LW1A3D,train
dress_sleeveless_2550,dress_sleeveless_9YWZZ5EINI,train
dress_sleeveless_2550,dress_sleeveless_OEEKJO2NSP,train
dress_sleeveless_2550,dress_sleeveless_LSX2CFK2WG,train
dress_sleeveless_2550,dress_sleeveless_EU7PZNP38F,train
dress_sleeveless_2550,dress_sleeveless_7I1DCEDZ6X,train
dress_sleeveless_2550,dress_sleeveless_RBASAHGZ76,train
dress_sleeveless_2550,dress_sleeveless_K1CJVAU3IT,train
dress_sleeveless_2550,dress_sleeveless_A9TJ00JMHP,train
dress_sleeveless_2550,dress_sleeveless_Z5AZAHM3J0,train
dress_sleeveless_2550,dress_sleeveless_7ZCVFQ4ZWN,train
dress_sleeveless_2550,dress_sleeveless_HQ8O65SLWW,train
dress_sleeveless_2550,dress_sleeveless_MPV7U8PJ52,train
dress_sleeveless_2550,dress_sleeveless_238UUDSLWF,train
dress_sleeveless_2550,dress_sleeveless_0TGRPZX1TF,train
dress_sleeveless_2550,dress_sleeveless_ND6N1JEFEI,train
dress_sleeveless_2550,dress_sleeveless_KN3TJX2RH4,train
dress_sleeveless_2550,dress_sleeveless_EOK5EZ1LKW,train
dress_sleeveless_2550,dress_sleeveless_RC09QU9YGW,train
dress_sleeveless_2550,dress_sleeveless_LVPQ345D5V,train
dress_sleeveless_2550,dress_sleeveless_N34KB3KJX2,train
dress_sleeveless_2550,dress_sleeveless_JS49TOVWQC,train
dress_sleeveless_2550,dress_sleeveless_0KKZ4MH0VQ,train
dress_sleeveless_2550,dress_sleeveless_EHJLQUM0C6,train
dress_sleeveless_2550,dress_sleeveless_OG54G61DUM,train
dress_sleeveless_2550,dress_sleeveless_5KXN60660D,train
dress_sleeveless_2550,dress_sleeveless_NTYCEXGGIC,train
dress_sleeveless_2550,dress_sleeveless_HVCINKYRHZ,train
dress_sleeveless_2550,dress_sleeveless_IONNZAWAV7,train
dress_sleeveless_2550,dress_sleeveless_OWIHRLZKF0,train
dress_sleeveless_2550,dress_sleeveless_94O7WRT1FP,train
dress_sleeveless_2550,dress_sleeveless_ZJUGK6MSTX,train
dress_sleeveless_2550,dress_sleeveless_9L7D8HOWM0,train
dress_sleeveless_2550,dress_sleeveless_VNQG28N81T,train
dress_sleeveless_2550,dress_sleeveless_4MFK5MK11N,train
dress_sleeveless_2550,dress_sleeveless_ERGH3HLLI5,train
dress_sleeveless_2550,dress_sleeveless_QA4JTMXVAF,train
dress_sleeveless_2550,dress_sleeveless_1KERLQVDIE,train
dress_sleeveless_2550,dress_sleeveless_67LHSIT2VX,train
dress_sleeveless_2550,dress_sleeveless_O5GOXRGW1B,train
dress_sleeveless_2550,dress_sleeveless_SAEH4VW49T,train
dress_sleeveless_2550,dress_sleeveless_PQ59Q5CSL4,train
dress_sleeveless_2550,dress_sleeveless_5KC5NRELPE,train
dress_sleeveless_2550,dress_sleeveless_4C2XNLGHWY,train
dress_sleeveless_2550,dress_sleeveless_99QDUAGNKH,train
dress_sleeveless_2550,dress_sleeveless_0L0F0YYVT0,train
dress_sleeveless_2550,dress_sleeveless_EBQZFUOLXR,train
dress_sleeveless_2550,dress_sleeveless_93REAWIA7V,train
dress_sleeveless_2550,dress_sleeveless_OA94WXH8JC,train
dress_sleeveless_2550,dress_sleeveless_AZ4XEL3QYA,train
dress_sleeveless_2550,dress_sleeveless_285TN7WXD2,train
dress_sleeveless_2550,dress_sleeveless_WVQLWDBR6C,train
dress_sleeveless_2550,dress_sleeveless_W99MGRH83X,train
dress_sleeveless_2550,dress_sleeveless_9WSKMPX3YD,train
dress_sleeveless_2550,dress_sleeveless_D1WEWI8QIN,train
dress_sleeveless_2550,dress_sleeveless_0I6QQ6TLVV,train
dress_sleeveless_2550,dress_sleeveless_03NR4RD224,train
dress_sleeveless_2550,dress_sleeveless_HW4ZIB3937,train
dress_sleeveless_2550,dress_sleeveless_5YVWP2NLVF,train
dress_sleeveless_2550,dress_sleeveless_V6LR18I6XJ,train
dress_sleeveless_2550,dress_sleeveless_M9JX4BNH0Q,train
dress_sleeveless_2550,dress_sleeveless_18ZWYKD4VW,train
dress_sleeveless_2550,dress_sleeveless_BDNV3MQ51R,train
dress_sleeveless_2550,dress_sleeveless_NDOG2D7MRN,train
dress_sleeveless_2550,dress_sleeveless_FTCPMCVQYE,train
dress_sleeveless_2550,dress_sleeveless_1VCFSP4FGF,train
dress_sleeveless_2550,dress_sleeveless_NZ1PWCWPUU,train
dress_sleeveless_2550,dress_sleeveless_F2HPA4R7JV,train
dress_sleeveless_2550,dress_sleeveless_WYGYLY7UOO,train
dress_sleeveless_2550,dress_sleeveless_Q807DZDGYT,train
dress_sleeveless_2550,dress_sleeveless_JP8OX17SDR,train
dress_sleeveless_2550,dress_sleeveless_W42ODW5N0V,train
dress_sleeveless_2550,dress_sleeveless_KGMMV6I1H4,train
dress_sleeveless_2550,dress_sleeveless_07BY4259P4,train
dress_sleeveless_2550,dress_sleeveless_7FU4EU7PO6,train
dress_sleeveless_2550,dress_sleeveless_S3SLIX8OJI,train
dress_sleeveless_2550,dress_sleeveless_H1KFRL3G70,train
dress_sleeveless_2550,dress_sleeveless_IY44BID9FY,train
dress_sleeveless_2550,dress_sleeveless_O0YDSS3C3R,train
dress_sleeveless_2550,dress_sleeveless_R5BAOKTSQM,train
dress_sleeveless_2550,dress_sleeveless_OZ1J7WUOC8,train
dress_sleeveless_2550,dress_sleeveless_R7T8VAOV4Z,train
dress_sleeveless_2550,dress_sleeveless_1HRLCJ4G1W,train
dress_sleeveless_2550,dress_sleeveless_1RJOFG4XL1,train
dress_sleeveless_2550,dress_sleeveless_82NHAY40NJ,train
dress_sleeveless_2550,dress_sleeveless_W3V62HOR61,train
dress_sleeveless_2550,dress_sleeveless_EJOKJGCTVE,train
dress_sleeveless_2550,dress_sleeveless_Y1YZ1EOA34,train
dress_sleeveless_2550,dress_sleeveless_RCB9WY8NNA,train
dress_sleeveless_2550,dress_sleeveless_PCAT92VI1E,train
dress_sleeveless_2550,dress_sleeveless_Q4MSH1BHT8,train
dress_sleeveless_2550,dress_sleeveless_HOJ8IVSZT6,train
dress_sleeveless_2550,dress_sleeveless_038TR0ANFK,train
dress_sleeveless_2550,dress_sleeveless_42WWPY9HXT,train
dress_sleeveless_2550,dress_sleeveless_POK8CW03WL,train
dress_sleeveless_2550,dress_sleeveless_GOXXSVMAG8,train
dress_sleeveless_2550,dress_sleeveless_CXJPJ70XST,train
dress_sleeveless_2550,dress_sleeveless_QJEIC2IYUX,train
dress_sleeveless_2550,dress_sleeveless_CRF7H008BF,train
dress_sleeveless_2550,dress_sleeveless_L6L7D3DJ71,train
dress_sleeveless_2550,dress_sleeveless_DC44147N7T,train
dress_sleeveless_2550,dress_sleeveless_QQ9M41BEBD,train
dress_sleeveless_2550,dress_sleeveless_4IBAXETT72,train
dress_sleeveless_2550,dress_sleeveless_7257OLHWU4,train
dress_sleeveless_2550,dress_sleeveless_RL3ZCIFVYO,train
dress_sleeveless_2550,dress_sleeveless_ZL40MM11DE,train
dress_sleeveless_2550,dress_sleeveless_QF36URP4KJ,train
dress_sleeveless_2550,dress_sleeveless_2H7NI1EU3N,train
dress_sleeveless_2550,dress_sleeveless_GMX0Z956OM,train
dress_sleeveless_2550,dress_sleeveless_MMBKEH858G,train
dress_sleeveless_2550,dress_sleeveless_84R4L1VC3G,train
dress_sleeveless_2550,dress_sleeveless_UOEJZ9RTE9,train
dress_sleeveless_2550,dress_sleeveless_7O2E715NOK,train
dress_sleeveless_2550,dress_sleeveless_86P9ENLZMV,train
dress_sleeveless_2550,dress_sleeveless_EG4XNOEN08,train
dress_sleeveless_2550,dress_sleeveless_TPWGSKCMEG,train
dress_sleeveless_2550,dress_sleeveless_DQPHW8M9HU,train
dress_sleeveless_2550,dress_sleeveless_6ROJE8P8AG,train
dress_sleeveless_2550,dress_sleeveless_8HXAFQ2PYU,train
dress_sleeveless_2550,dress_sleeveless_9XE4EYHMJ3,train
dress_sleeveless_2550,dress_sleeveless_LSYZ9A473V,train
dress_sleeveless_2550,dress_sleeveless_RYJ4T0UEOP,train
dress_sleeveless_2550,dress_sleeveless_FN64XNJCWX,train
dress_sleeveless_2550,dress_sleeveless_ADHTNGHW8A,train
dress_sleeveless_2550,dress_sleeveless_G90JZNANNX,train
dress_sleeveless_2550,dress_sleeveless_1OE7L4PS76,train
dress_sleeveless_2550,dress_sleeveless_ROKXSONC6I,train
dress_sleeveless_2550,dress_sleeveless_MW4C0RPHAZ,train
dress_sleeveless_2550,dress_sleeveless_EDBPTIRBJT,train
dress_sleeveless_2550,dress_sleeveless_6GVC0FWJ3A,train
dress_sleeveless_2550,dress_sleeveless_JGEXZMZJVO,train
dress_sleeveless_2550,dress_sleeveless_0NOB8KE0QB,train
dress_sleeveless_2550,dress_sleeveless_IRLOIKWG3L,train
dress_sleeveless_2550,dress_sleeveless_L73V7VPMC8,train
dress_sleeveless_2550,dress_sleeveless_FUWRT0JBJD,train
dress_sleeveless_2550,dress_sleeveless_0OADXS6VHQ,train
dress_sleeveless_2550,dress_sleeveless_FW5AHS578T,train
dress_sleeveless_2550,dress_sleeveless_SYR7UIEIK6,train
dress_sleeveless_2550,dress_sleeveless_PLH7GUER9D,train
dress_sleeveless_2550,dress_sleeveless_0QKCGF1SEE,train
dress_sleeveless_2550,dress_sleeveless_UT5AJPFNSV,train
dress_sleeveless_2550,dress_sleeveless_I4D85XA28F,train
dress_sleeveless_2550,dress_sleeveless_WJEKR37J3S,train
dress_sleeveless_2550,dress_sleeveless_REFPCB02XK,train
dress_sleeveless_2550,dress_sleeveless_BZNV4AFH5I,train
dress_sleeveless_2550,dress_sleeveless_ICB60ZGOGE,train
dress_sleeveless_2550,dress_sleeveless_AHLVW92ZPV,train
dress_sleeveless_2550,dress_sleeveless_WEGWLDX6VI,train
dress_sleeveless_2550,dress_sleeveless_E56Z58Y8W9,train
dress_sleeveless_2550,dress_sleeveless_IOXBFQES4K,train
dress_sleeveless_2550,dress_sleeveless_I1LR7DNPV7,train
dress_sleeveless_2550,dress_sleeveless_94LPP4A6ZO,train
dress_sleeveless_2550,dress_sleeveless_ROGGE3PYE2,train
dress_sleeveless_2550,dress_sleeveless_OZ13PG52UX,train
dress_sleeveless_2550,dress_sleeveless_PULWJ5LDQT,train
dress_sleeveless_2550,dress_sleeveless_F0X5KXXJ8Z,train
dress_sleeveless_2550,dress_sleeveless_R0F7REEYLY,train
dress_sleeveless_2550,dress_sleeveless_5DXFZIBO2X,train
dress_sleeveless_2550,dress_sleeveless_JWIFAPQEO6,train
dress_sleeveless_2550,dress_sleeveless_XZ5KQ518XH,train
dress_sleeveless_2550,dress_sleeveless_S8HNZGLTVP,train
dress_sleeveless_2550,dress_sleeveless_T8KWFK9WKE,train
dress_sleeveless_2550,dress_sleeveless_MOMN8UPJZX,train
dress_sleeveless_2550,dress_sleeveless_F4PXM6ESIP,train
dress_sleeveless_2550,dress_sleeveless_6OHE1HPMRQ,train
dress_sleeveless_2550,dress_sleeveless_2LLPFCXZJZ,train
dress_sleeveless_2550,dress_sleeveless_UFVFKFSHNC,train
dress_sleeveless_2550,dress_sleeveless_UZHA0CTBMT,train
dress_sleeveless_2550,dress_sleeveless_UX9LHLN2Y6,train
dress_sleeveless_2550,dress_sleeveless_0WD7DCO2AU,train
dress_sleeveless_2550,dress_sleeveless_000YCTJ9HS,train
dress_sleeveless_2550,dress_sleeveless_ADF4C49HXT,train
dress_sleeveless_2550,dress_sleeveless_SE2BFFKRY3,train
dress_sleeveless_2550,dress_sleeveless_B19AY465QH,train
dress_sleeveless_2550,dress_sleeveless_TT47OI89QR,train
dress_sleeveless_2550,dress_sleeveless_PHPVXJF3ZW,train
dress_sleeveless_2550,dress_sleeveless_RUP15OLD20,train
dress_sleeveless_2550,dress_sleeveless_ZESD6RJK8I,train
dress_sleeveless_2550,dress_sleeveless_7OOB20MYST,train
dress_sleeveless_2550,dress_sleeveless_0MAXMII1XO,train
dress_sleeveless_2550,dress_sleeveless_F4SZ9QGWEI,train
dress_sleeveless_2550,dress_sleeveless_DMXX9TY63G,train
dress_sleeveless_2550,dress_sleeveless_TTBZHRSBU8,train
dress_sleeveless_2550,dress_sleeveless_TCGJ7I6TKX,train
dress_sleeveless_2550,dress_sleeveless_6CB4O5VWS1,train
dress_sleeveless_2550,dress_sleeveless_7XKVWAOO8B,train
dress_sleeveless_2550,dress_sleeveless_D6M7W07RDB,train
dress_sleeveless_2550,dress_sleeveless_GAUC5GNF99,train
dress_sleeveless_2550,dress_sleeveless_DZVS4Y3L6K,train
dress_sleeveless_2550,dress_sleeveless_KKP3D1MCA1,train
dress_sleeveless_2550,dress_sleeveless_R49OVLDKWP,train
dress_sleeveless_2550,dress_sleeveless_NXTGJSSXUK,train
dress_sleeveless_2550,dress_sleeveless_C3COT3ZOAP,train
dress_sleeveless_2550,dress_sleeveless_U3IIE6F6PV,train
dress_sleeveless_2550,dress_sleeveless_ITSXYEYKSZ,train
dress_sleeveless_2550,dress_sleeveless_BLRZVYCYMC,train
dress_sleeveless_2550,dress_sleeveless_FFFS0B1FCX,train
dress_sleeveless_2550,dress_sleeveless_E8VNVT2QE5,train
dress_sleeveless_2550,dress_sleeveless_V47C9DSAWY,train
dress_sleeveless_2550,dress_sleeveless_IM5ZSZRGTA,train
dress_sleeveless_2550,dress_sleeveless_XCD02741G2,train
dress_sleeveless_2550,dress_sleeveless_U56KFHG379,train
dress_sleeveless_2550,dress_sleeveless_2HTQQXKGMW,train
dress_sleeveless_2550,dress_sleeveless_QM3FXTFY0K,train
dress_sleeveless_2550,dress_sleeveless_T7EQWO0UZ9,train
dress_sleeveless_2550,dress_sleeveless_ORF41BU97P,train
dress_sleeveless_2550,dress_sleeveless_DXIHKJ3NNM,train
dress_sleeveless_2550,dress_sleeveless_RAVUOKNC02,train
dress_sleeveless_2550,dress_sleeveless_LCRC3I00JX,train
dress_sleeveless_2550,dress_sleeveless_6JNO4E75FH,train
dress_sleeveless_2550,dress_sleeveless_NDPHTRJ4D4,train
dress_sleeveless_2550,dress_sleeveless_R466PPKGLO,train
dress_sleeveless_2550,dress_sleeveless_O3SG0KEE2D,train
dress_sleeveless_2550,dress_sleeveless_0YMV2CDQYF,train
dress_sleeveless_2550,dress_sleeveless_J4N0JBKPAI,train
dress_sleeveless_2550,dress_sleeveless_U0RWEU7ZH5,train
dress_sleeveless_2550,dress_sleeveless_RD0B5G7MJ0,train
dress_sleeveless_2550,dress_sleeveless_D29FLDDP97,train
dress_sleeveless_2550,dress_sleeveless_NDCRD0VRDX,train
dress_sleeveless_2550,dress_sleeveless_CIE4EYEQJK,train
dress_sleeveless_2550,dress_sleeveless_U9RLJ123YI,train
dress_sleeveless_2550,dress_sleeveless_3H30ZEWE27,train
dress_sleeveless_2550,dress_sleeveless_1B6DHPZI3U,train
dress_sleeveless_2550,dress_sleeveless_P4TR8J4LSN,train
dress_sleeveless_2550,dress_sleeveless_QT5N9T5ZA9,train
dress_sleeveless_2550,dress_sleeveless_VRKURWKAK6,train
dress_sleeveless_2550,dress_sleeveless_FGBUB62PC3,train
dress_sleeveless_2550,dress_sleeveless_50W9LZ9KB7,train
dress_sleeveless_2550,dress_sleeveless_0VPX49CE0V,train
dress_sleeveless_2550,dress_sleeveless_U37K8TL99T,train
dress_sleeveless_2550,dress_sleeveless_RJUGHZ9EHP,train
dress_sleeveless_2550,dress_sleeveless_XJP7EX1ZJM,train
dress_sleeveless_2550,dress_sleeveless_FKNORC4HHD,train
dress_sleeveless_2550,dress_sleeveless_3P5YX0HRN0,train
dress_sleeveless_2550,dress_sleeveless_NRVVGB603T,train
dress_sleeveless_2550,dress_sleeveless_5RTSEI8S8Q,train
dress_sleeveless_2550,dress_sleeveless_L3N7Z8SKDO,train
dress_sleeveless_2550,dress_sleeveless_AW3IV8REJD,train
dress_sleeveless_2550,dress_sleeveless_X0WB4RM7LO,train
dress_sleeveless_2550,dress_sleeveless_88RD0K5VJO,train
dress_sleeveless_2550,dress_sleeveless_DFNK0Y0EKZ,train
dress_sleeveless_2550,dress_sleeveless_RAE3UHBYVA,train
dress_sleeveless_2550,dress_sleeveless_EP7ZJP92FT,train
dress_sleeveless_2550,dress_sleeveless_GRRJGAGVTQ,train
dress_sleeveless_2550,dress_sleeveless_PIT7S53DMN,train
dress_sleeveless_2550,dress_sleeveless_AU0ECPH8DG,train
dress_sleeveless_2550,dress_sleeveless_K9TMJ08CAN,train
dress_sleeveless_2550,dress_sleeveless_J4IMPR6I0E,train
dress_sleeveless_2550,dress_sleeveless_QHSW6U0UPI,train
dress_sleeveless_2550,dress_sleeveless_6CDRX8AJOT,train
dress_sleeveless_2550,dress_sleeveless_7UHLY1WQDU,train
dress_sleeveless_2550,dress_sleeveless_IIKJ1LKSH7,train
dress_sleeveless_2550,dress_sleeveless_DO4BGAPFB9,train
dress_sleeveless_2550,dress_sleeveless_UA1YOTMLEF,train
dress_sleeveless_2550,dress_sleeveless_II9A5UGGMA,train
dress_sleeveless_2550,dress_sleeveless_ERDXGFCAXU,train
dress_sleeveless_2550,dress_sleeveless_HC6AX51FYF,train
dress_sleeveless_2550,dress_sleeveless_HJQ4WOWNIM,train
dress_sleeveless_2550,dress_sleeveless_MB0LJKPQ3Y,train
dress_sleeveless_2550,dress_sleeveless_YJBBNH7VB1,train
dress_sleeveless_2550,dress_sleeveless_NAEHMDXDT3,train
dress_sleeveless_2550,dress_sleeveless_KOT9SUT40W,train
dress_sleeveless_2550,dress_sleeveless_JSYQWIVZXN,train
dress_sleeveless_2550,dress_sleeveless_HZ68R877S5,train
dress_sleeveless_2550,dress_sleeveless_ZVIJ9OUY1C,train
dress_sleeveless_2550,dress_sleeveless_40UM99ODHQ,train
dress_sleeveless_2550,dress_sleeveless_C9U645UROB,train
dress_sleeveless_2550,dress_sleeveless_8S3FKW72IK,train
dress_sleeveless_2550,dress_sleeveless_FR3UHGK83L,train
dress_sleeveless_2550,dress_sleeveless_21ESQFLXW0,train
dress_sleeveless_2550,dress_sleeveless_PH8CFL7P18,train
dress_sleeveless_2550,dress_sleeveless_O4PRU3O2CO,train
dress_sleeveless_2550,dress_sleeveless_913E8RVZ7Z,train
dress_sleeveless_2550,dress_sleeveless_KL38PD7U3H,train
dress_sleeveless_2550,dress_sleeveless_FXYVSAOYLA,train
dress_sleeveless_2550,dress_sleeveless_YDOXSJCGZQ,train
dress_sleeveless_2550,dress_sleeveless_605QYVUODF,train
dress_sleeveless_2550,dress_sleeveless_ZBYJ7LLF73,train
dress_sleeveless_2550,dress_sleeveless_DXSSYJEYPT,train
dress_sleeveless_2550,dress_sleeveless_KDBT0VV6XA,train
dress_sleeveless_2550,dress_sleeveless_9KEYGSRBI0,train
dress_sleeveless_2550,dress_sleeveless_27ST5FS46P,train
dress_sleeveless_2550,dress_sleeveless_VW3SGX0JPJ,train
dress_sleeveless_2550,dress_sleeveless_RY0YWT22FT,train
dress_sleeveless_2550,dress_sleeveless_HFO8XVQLSQ,train
dress_sleeveless_2550,dress_sleeveless_3ICQ47HR9D,train
dress_sleeveless_2550,dress_sleeveless_AQ7U3BFJP5,train
dress_sleeveless_2550,dress_sleeveless_5SLH1TTCVH,train
dress_sleeveless_2550,dress_sleeveless_PQ0P08UQWM,train
dress_sleeveless_2550,dress_sleeveless_9V1W57X5VA,train
dress_sleeveless_2550,dress_sleeveless_O7JTBFAF8V,train
dress_sleeveless_2550,dress_sleeveless_KT2GZ9VEWL,train
dress_sleeveless_2550,dress_sleeveless_DR5Z91PNYF,train
dress_sleeveless_2550,dress_sleeveless_J22UYPZ9OS,train
dress_sleeveless_2550,dress_sleeveless_P8RPSASUXW,train
dress_sleeveless_2550,dress_sleeveless_KWAEMEQZ9P,train
dress_sleeveless_2550,dress_sleeveless_DF9G3YE5PN,train
dress_sleeveless_2550,dress_sleeveless_28ZXZN5F6A,train
dress_sleeveless_2550,dress_sleeveless_KKQH40YCER,train
dress_sleeveless_2550,dress_sleeveless_JXFA1ERNP4,train
dress_sleeveless_2550,dress_sleeveless_LF2C815FY2,train
dress_sleeveless_2550,dress_sleeveless_N1CMRYM2R1,train
dress_sleeveless_2550,dress_sleeveless_ZR7NJUCYQB,train
dress_sleeveless_2550,dress_sleeveless_A8W28W1YBD,train
dress_sleeveless_2550,dress_sleeveless_6RG2NIX1I9,train
dress_sleeveless_2550,dress_sleeveless_L46SNOXFKK,train
dress_sleeveless_2550,dress_sleeveless_RT1FJVSJKW,train
dress_sleeveless_2550,dress_sleeveless_KMFJDHZ124,train
dress_sleeveless_2550,dress_sleeveless_47MUR1VCUK,train
dress_sleeveless_2550,dress_sleeveless_2YHP4AIRMC,train
dress_sleeveless_2550,dress_sleeveless_6QEC0DPH9Y,train
dress_sleeveless_2550,dress_sleeveless_1OZ05WMF9S,train
dress_sleeveless_2550,dress_sleeveless_3T44U5KJF4,train
dress_sleeveless_2550,dress_sleeveless_LBB0RYIWQD,train
dress_sleeveless_2550,dress_sleeveless_SZ3S4SNDCO,train
dress_sleeveless_2550,dress_sleeveless_5553PJBHSA,train
dress_sleeveless_2550,dress_sleeveless_DFLPB5X7ZY,train
dress_sleeveless_2550,dress_sleeveless_VBUAVOLNFR,train
dress_sleeveless_2550,dress_sleeveless_ORTHAHG2T5,train
dress_sleeveless_2550,dress_sleeveless_TEYPG0JJGM,train
dress_sleeveless_2550,dress_sleeveless_OGH420Z3U2,train
dress_sleeveless_2550,dress_sleeveless_JQY1CFLLTZ,train
dress_sleeveless_2550,dress_sleeveless_53TAXRM5OS,train
